Date,Open,High,Low,Close,Volume,Market Cap
"Oct 06, 2020","5,38","5,4","4,71","4,75",158.578.836,968.176.565
"Oct 05, 2020","5,33","5,4","5,2","5,38",132.582.944,1.098.200.858
"Oct 04, 2020","5,03","5,37","4,9","5,33",137.027.260,1.087.238.795
"Oct 03, 2020","4,91","5,14","4,89","5,03",95.916.282,1.025.169.888
"Oct 02, 2020","5,12","5,27","4,69","4,91",192.276.790,1.001.716.582
"Oct 01, 2020","5,37","5,6","4,99","5,1",166.700.247,1.040.184.965
"Sep 30, 2020","5,3","5,57","5,22","5,37",207.449.828,1.094.780.229
"Sep 29, 2020","4,84","5,37","4,82","5,3",170.872.167,1.078.728.559
"Sep 28, 2020","4,73","5,18","4,73","4,84",199.772.861,985.917.173
"Sep 27, 2020","4,61","4,79","4,55","4,73",121.699.166,962.891.592
"Sep 26, 2020","4,8","4,82","4,5","4,61",108.388.966,938.263.489
"Sep 25, 2020","4,49","4,81","4,38","4,79",154.126.209,975.192.527
"Sep 24, 2020","3,85","4,55","3,81","4,49",157.128.359,913.859.878
"Sep 23, 2020","4,22","4,3","3,83","3,85",134.221.234,782.819.109
"Sep 22, 2020","4,09","4,27","4,04","4,22",171.684.228,858.325.548
"Sep 21, 2020","4,66","4,74","4,01","4,1",348.171.174,833.058.273
"Sep 20, 2020","4,95","5,1","4,55","4,67",274.054.186,948.752.097
"Sep 19, 2020","4,97","5,05","4,87","4,94",277.388.053,1.005.082.804
"Sep 18, 2020","5,07","5,21","4,79","4,97",331.408.168,1.009.745.533
"Sep 17, 2020","5,14","5,2","4,87","5,07",340.405.816,1.030.478.402
"Sep 16, 2020","4,88","5,19","4,73","5,14",334.951.551,1.044.035.462
"Sep 15, 2020","5,39","5,45","4,82","4,88",363.508.871,991.224.564
"Sep 14, 2020","5,3","5,54","5,14","5,39",381.948.275,1.094.614.866
"Sep 13, 2020","5,61","5,83","5,13","5,28",377.829.015,1.072.247.337
"Sep 12, 2020","5,35","5,71","5,23","5,61",360.035.149,1.138.856.161
"Sep 11, 2020","5,32","5,4","5,07","5,36",417.767.144,1.087.807.791
"Sep 10, 2020","5,33","5,56","5,2","5,32",365.855.870,1.079.024.494
"Sep 09, 2020","4,95","5,51","4,9","5,33",321.362.550,1.082.052.005
"Sep 08, 2020","5,05","5,16","4,77","4,96",358.032.944,1.005.060.876
"Sep 07, 2020","5,19","5,26","4,67","5,05",295.960.169,1.024.866.109
"Sep 06, 2020","4,92","5,33","4,57","5,19",318.911.092,1.051.132.158
"Sep 05, 2020","5,51","5,67","4,7","4,93",342.853.119,998.759.947
"Sep 04, 2020","4,97","5,64","4,77","5,51",344.004.275,1.116.443.921
"Sep 03, 2020","6,66","6,73","4,8","4,98",282.049.166,1.009.114.810
"Sep 02, 2020","7,25","7,31","6,4","6,65",277.133.708,1.347.620.013
"Sep 01, 2020","7,21","7,63","7,08","7,25",371.396.401,1.467.228.913
"Aug 31, 2020","7,63","7,8","7,21","7,21",282.620.496,1.459.951.910
"Aug 30, 2020","7,3","7,9","7,27","7,64",350.623.367,1.545.358.355
"Aug 29, 2020","7,58","7,61","7,31","7,31",261.510.039,1.478.593.135
"Aug 28, 2020","7,29","7,82","7,17","7,58",323.336.194,1.533.822.158
"Aug 27, 2020","7,73","7,92","6,94","7,29",476.206.940,1.473.858.750
"Aug 26, 2020","8,43","8,64","7,69","7,74",543.449.709,1.565.794.555
"Aug 25, 2020","8,2","8,86","7,82","8,43",775.432.823,1.705.161.435
"Aug 24, 2020","8,5","8,52","7,69","8,15",477.822.555,1.647.064.219
"Aug 23, 2020","6,44","8,55","6,36","8,52",950.815.185,1.722.597.379
"Aug 22, 2020","5,62","6,49","5,43","6,44",288.906.284,1.300.413.970
"Aug 21, 2020","6,3","6,59","5,63","5,63",250.034.249,1.137.817.406
"Aug 20, 2020","5,67","6,37","5,57","6,3",234.862.299,1.272.604.137
"Aug 19, 2020","5,83","5,93","5,34","5,67",176.905.067,1.144.404.908
"Aug 18, 2020","5,91","6,13","5,59","5,84",178.381.361,1.178.637.975
"Aug 17, 2020","6,22","6,31","5,94","5,94",177.357.908,1.198.330.581
"Aug 16, 2020","6,09","6,37","5,82","6,22",214.631.153,1.255.317.475
"Aug 15, 2020","6,09","6,35","5,94","6,09",194.209.287,1.228.918.286
"Aug 14, 2020","6,15","6,64","5,96","6,09",355.819.712,1.229.057.707
"Aug 13, 2020","5,98","6,56","5,54","6,15",485.820.621,1.239.998.020
"Aug 12, 2020","4,93","6,05","4,89","5,98",360.566.166,1.204.762.283
"Aug 11, 2020","5,48","5,57","4,73","4,93",227.937.900,993.681.758
"Aug 10, 2020","5,28","5,85","5,14","5,47",356.003.398,1.099.103.996
"Aug 09, 2020","4,43","5,43","4,31","5,28",367.025.728,1.007.594.783
"Aug 08, 2020","4,02","4,43","3,99","4,43",119.089.971,845.078.255
"Aug 07, 2020","4,17","4,19","3,93","4,02",122.545.388,766.657.283
"Aug 06, 2020","4,16","4,25","4,13","4,18",128.558.907,796.328.704
"Aug 05, 2020","4,01","4,2","3,96","4,16",127.763.370,793.181.052
"Aug 04, 2020","3,85","4,05","3,82","4,01",112.162.334,764.691.242
"Aug 03, 2020","3,9","4,05","3,81","3,85",144.959.925,735.071.854
"Aug 02, 2020","4,07","4,21","3,61","3,89",154.074.397,742.120.863
"Aug 01, 2020","3,79","4,11","3,79","4,06",157.637.842,774.869.372
"jul. 31, 2020","3,72","3,84","3,71","3,79",98.156.636,723.161.289
"jul. 30, 2020","3,64","3,75","3,61","3,72",89.185.104,709.252.878
"jul. 29, 2020","3,75","3,85","3,63","3,64",107.518.754,694.190.097
"jul. 28, 2020","3,59","3,78","3,55","3,75",120.724.603,715.169.173
"jul. 27, 2020","3,8","3,91","3,34","3,59",179.412.715,684.354.568
"jul. 26, 2020","3,9","3,91","3,75","3,81",114.783.801,725.576.114
"jul. 25, 2020","3,82","3,95","3,78","3,91",117.721.754,744.642.888
"jul. 24, 2020","3,96","3,96","3,79","3,82",100.656.643,728.020.472
"jul. 23, 2020","4,01","4,09","3,93","3,96",97.303.815,754.265.670
"jul. 22, 2020",4,"4,04","3,89","4,01",95.362.253,765.255.628
"jul. 21, 2020","3,88","4,05","3,79",4,134.911.036,762.103.236
"jul. 20, 2020","4,19","4,24","3,87","3,88",123.252.885,740.025.065
"jul. 19, 2020","4,36","4,51","4,01","4,19",191.114.701,798.958.573
"jul. 18, 2020","4,14","4,52","4,11","4,36",188.008.155,832.076.368
"jul. 17, 2020","4,07","4,25","3,96","4,14",147.509.307,789.673.952
"jul. 16, 2020","4,04","4,27","3,78","4,08",181.058.807,777.612.221
"jul. 15, 2020","3,95","4,14","3,87","4,04",118.920.920,769.689.603
"jul. 14, 2020","3,88","4,03","3,82","3,96",161.379.172,754.206.194
"jul. 13, 2020","4,02","4,33","3,76","3,88",215.883.769,739.058.366
"jul. 12, 2020","3,93","4,16","3,91","4,02",162.188.362,765.785.223
"jul. 11, 2020","4,06","4,44","3,9","3,94",262.446.668,751.731.837
"jul. 10, 2020","3,8","4,13","3,59","4,06",240.007.520,774.380.058
"jul. 09, 2020","3,55","3,81","3,42","3,8",172.133.671,724.761.234
"jul. 08, 2020","3,24","3,57","3,17","3,55",167.546.062,677.214.672
"jul. 07, 2020","3,02","3,28","2,97","3,24",129.565.057,617.985.797
"jul. 06, 2020","2,93","3,12","2,92","3,02",139.258.504,575.771.549
"jul. 05, 2020","2,78","2,98","2,74","2,93",127.933.386,557.810.085
"jul. 04, 2020","2,7","2,79","2,69","2,77",73.677.976,528.789.699
"jul. 03, 2020","2,68","2,8","2,68","2,69",84.247.985,513.492.592
"jul. 02, 2020","2,66","2,79","2,63","2,68",81.945.498,511.481.982
"jul. 01, 2020","2,6","2,68","2,58","2,66",61.670.189,506.522.963
"jun. 30, 2020","2,64","2,68","2,58","2,6",56.318.983,494.914.742
"jun. 29, 2020","2,51","2,68","2,47","2,65",90.524.641,504.404.467
"jun. 28, 2020","2,44","2,56","2,41","2,51",67.511.560,479.393.978
"jun. 27, 2020","2,62","2,72","2,33","2,44",93.301.751,465.501.287
"jun. 26, 2020","2,63","2,65","2,53","2,62",84.370.609,499.490.311
"jun. 25, 2020","2,68","2,69","2,58","2,62",77.264.799,500.453.596
"jun. 24, 2020","2,78","2,88","2,66","2,68",105.354.511,511.788.992
"jun. 23, 2020","2,68","2,83","2,65","2,77",104.021.029,528.843.399
"jun. 22, 2020","2,6","2,72","2,6","2,68",96.576.319,511.258.277
"jun. 21, 2020","2,61","2,63","2,59","2,61",82.053.811,497.158.696
"jun. 20, 2020","2,59","2,63","2,56","2,61",90.834.917,498.494.918
"jun. 19, 2020","2,65","2,66","2,59","2,59",99.231.023,494.035.576
